BP-NN
Epoch,Run 2,Run 3,Run 4,Run 5,Run 12,Run 14,Run 24,Run 26,Run 28,Run 32,Run 33,Run 35,Run 48,Mean
3,0.5347,0.4858,0.4219,0.3696,0.4839,0.5668,0.4263,0.5141,0.5662,0.5292,0.352,0.3943,0.3875,0.464023076923077
4,0.5206,0.4219,0.4219,0.3376,0.4818,0.5235,0.3987,0.4452,0.4885,0.471,0.352,0.3906,0.2764,0.42536153846153846
5,0.4572,0.4219,0.4015,0.3097,0.3844,0.4101,0.3614,0.4079,0.4146,0.4239,0.3214,0.3883,0.2764,0.38297692307692305
6,0.4406,0.3661,0.3443,0.2957,0.3844,0.4101,0.3381,0.3805,0.3471,0.3362,0.2977,0.2496,0.2627,0.3425461538461538
7,0.4212,0.3661,0.3285,0.2882,0.3715,0.3593,0.3113,0.3244,0.3471,0.3362,0.2567,0.2496,0.2557,0.32429230769230766
8,0.4212,0.3661,0.3284,0.2771,0.3186,0.3593,0.2457,0.2968,0.2918,0.3132,0.2334,0.2455,0.2191,0.30124615384615383
9,0.4048,0.3564,0.3068,0.2771,0.3107,0.3079,0.2281,0.2833,0.2357,0.2938,0.2319,0.2455,0.2048,0.28359999999999996
10,0.3982,0.2932,0.267,0.2561,0.2906,0.299,0.2254,0.2579,0.2249,0.2764,0.2241,0.2098,0.1592,0.2601384615384615
11,0.3485,0.2425,0.2189,0.2404,0.2719,0.299,0.2149,0.2579,0.2058,0.253,0.2198,0.2098,0.1592,0.24166153846153843
12,0.3353,0.2425,0.2097,0.2321,0.2719,0.2862,0.1809,0.2294,0.2033,0.236,0.2198,0.2012,0.1592,0.23134615384615387
13,0.334,0.2271,0.1842,0.2279,0.2615,0.2862,0.1691,0.2156,0.178,0.236,0.2039,0.1758,0.1592,0.2198846153846154
14,0.2954,0.2271,0.1842,0.2088,0.2554,0.2614,0.1691,0.2096,0.1763,0.2272,0.1976,0.1758,0.1567,0.2111230769230769
15,0.2587,0.1964,0.1842,0.2088,0.2281,0.2218,0.1691,0.2055,0.1747,0.2063,0.1857,0.1627,0.1467,0.1960538461538462
16,0.2587,0.1964,0.1842,0.2088,0.2281,0.2218,0.1564,0.2055,0.1597,0.2063,0.1857,0.1476,0.1467,0.19276153846153848
17,0.2379,0.1908,0.1842,0.1962,0.2188,0.1819,0.1525,0.1989,0.1535,0.1902,0.1784,0.1476,0.1467,0.18289230769230772
18,0.1941,0.1779,0.1842,0.1962,0.2188,0.1819,0.1381,0.1934,0.1451,0.1876,0.1784,0.1476,0.1467,0.17615384615384616
19,0.1941,0.1779,0.1842,0.1928,0.2171,0.1819,0.1381,0.1934,0.1349,0.1819,0.1784,0.1409,0.1456,0.17393846153846151
20,0.1899,0.1614,0.1763,0.1928,0.2076,0.1731,0.1381,0.1734,0.1274,0.1641,0.1721,0.1409,0.1343,0.16549230769230766
21,0.1816,0.1585,0.16,0.1708,0.2076,0.1642,0.1269,0.1615,0.1274,0.1641,0.1583,0.1267,0.1343,0.15706923076923077
22,0.1813,0.1585,0.1487,0.149,0.2,0.1492,0.1224,0.1578,0.1235,0.1641,0.1583,0.1257,0.1281,0.15127692307692306
23,0.1567,0.1554,0.1487,0.149,0.1748,0.1492,0.1201,0.1469,0.1211,0.1641,0.1464,0.1257,0.1281,0.1450923076923077
24,0.1567,0.1531,0.1451,0.149,0.1723,0.1396,0.1193,0.14,0.1191,0.158,0.1464,0.1257,0.1281,0.14249230769230767
25,0.1567,0.1482,0.1434,0.149,0.1704,0.1358,0.1138,0.1387,0.1161,0.158,0.1443,0.1229,0.1281,0.14041538461538464
26,0.1446,0.1476,0.1434,0.1462,0.1704,0.1231,0.1138,0.1264,0.1161,0.158,0.1427,0.1192,0.1281,0.13689230769230767
27,0.1446,0.1476,0.1398,0.1462,0.1679,0.1231,0.1138,0.1264,0.1161,0.1535,0.1382,0.1192,0.1281,0.13573076923076924
28,0.1428,0.1317,0.1366,0.1405,0.1584,0.1221,0.1138,0.1261,0.1161,0.1482,0.1344,0.1138,0.1217,0.13124615384615385
29,0.1408,0.1317,0.1295,0.1144,0.1584,0.1109,0.1135,0.1261,0.1142,0.1443,0.1344,0.1131,0.1217,0.12715384615384615
30,0.13,0.1317,0.1295,0.1144,0.146,0.1109,0.1135,0.1261,0.1123,0.1278,0.1258,0.1131,0.117,0.12293076923076922
31,0.1174,0.1317,0.1277,0.114,0.1257,0.1109,0.1133,0.1258,0.1049,0.1278,0.1248,0.1128,0.117,0.11952307692307693
32,0.112,0.1222,0.1239,0.1128,0.1257,0.1102,0.1027,0.1175,0.1015,0.1214,0.1094,0.1128,0.1135,0.11427692307692307
33,0.112,0.1222,0.1239,0.1085,0.1257,0.1102,0.1027,0.1138,0.1007,0.1116,0.1076,0.1097,0.1129,0.1124230769230769
34,0.1102,0.1197,0.1222,0.1053,0.1257,0.1102,0.1027,0.1117,0.1007,0.1076,0.1076,0.1097,0.1129,0.11124615384615383
35,0.1102,0.1197,0.1222,0.1053,0.1221,0.1068,0.1027,0.1117,0.0951,0.1039,0.1076,0.1067,0.1101,0.10954615384615386
36,0.1051,0.1154,0.1197,0.1017,0.1157,0.104,0.1027,0.1117,0.0951,0.1003,0.1075,0.1026,0.1101,0.10704615384615385
37,0.1051,0.1154,0.1197,0.0913,0.1007,0.0976,0.1027,0.1101,0.0939,0.0993,0.1074,0.1026,0.1101,0.1043
38,0.1034,0.1084,0.1126,0.0913,0.0966,0.0976,0.1027,0.1101,0.0939,0.095,0.1074,0.1026,0.1101,0.10243846153846155
39,0.1034,0.1084,0.1126,0.0913,0.0966,0.0976,0.1027,0.1075,0.0912,0.0875,0.1074,0.1026,0.1095,0.10140769230769231
40,0.0995,0.1049,0.1126,0.0913,0.0962,0.0976,0.0961,0.1075,0.0912,0.0875,0.107,0.1026,0.1095,0.10026923076923078
41,0.0995,0.1049,0.1126,0.0913,0.094,0.0927,0.0961,0.1052,0.0912,0.0875,0.1065,0.1004,0.1061,0.09907692307692308
42,0.0995,0.1049,0.1126,0.0901,0.0929,0.0927,0.0953,0.1052,0.09,0.0856,0.1065,0.1004,0.1061,0.09860000000000001
43,0.0929,0.1024,0.1117,0.0901,0.0929,0.0927,0.0953,0.1035,0.0846,0.0856,0.1065,0.1004,0.1061,0.0972846153846154
44,0.0929,0.102,0.1117,0.0825,0.0929,0.0927,0.0953,0.1018,0.0846,0.0856,0.1065,0.0976,0.1061,0.09632307692307693
45,0.0929,0.1012,0.1059,0.0825,0.0929,0.0878,0.0953,0.1018,0.0846,0.0815,0.1065,0.0976,0.1061,0.09512307692307692
46,0.0862,0.1012,0.1059,0.0825,0.0929,0.0878,0.0907,0.1018,0.0846,0.0815,0.1056,0.0976,0.1056,0.09414615384615382
47,0.0843,0.099,0.1048,0.0825,0.0915,0.0878,0.0907,0.0993,0.0803,0.0815,0.1056,0.0976,0.0945,0.09226153846153846
48,0.0843,0.0961,0.1014,0.0825,0.0904,0.0835,0.0869,0.0993,0.078,0.0811,0.1056,0.0952,0.0944,0.09066923076923078
49,0.082,0.0961,0.1014,0.0825,0.0904,0.0835,0.0869,0.0993,0.077,0.0797,0.1056,0.0947,0.0944,0.09026923076923077
50,0.082,0.0961,0.1007,0.0825,0.0897,0.0835,0.0869,0.0993,0.0742,0.0797,0.1015,0.0947,0.0944,0.08963076923076925

PSO-NN
Epoch,Run 1,Run 9,Run 10,Run 12,Run 16,Run 29,Run 31,Run 36,Run 38,Run 39,Run 40,Run 42,Run 48,Mean
1,0.6706,0.6453,0.603,0.6082,0.7594,0.5575,0.5266,0.6143,0.5785,0.6888,0.5912,0.6685,0.5527,0.620353846153846
2,0.51,0.5106,0.5246,0.4698,0.489,0.3656,0.3918,0.4775,0.3899,0.5319,0.4955,0.4225,0.4277,0.46203076923076924
3,0.4444,0.3496,0.3671,0.4093,0.2991,0.3656,0.3918,0.3264,0.3325,0.4531,0.3801,0.3093,0.3303,0.36604615384615385
4,0.3353,0.2542,0.3374,0.3197,0.2704,0.3656,0.2953,0.2803,0.2552,0.4184,0.3027,0.263,0.2509,0.30372307692307693
5,0.2835,0.2469,0.2916,0.2998,0.2143,0.3239,0.2672,0.2225,0.2195,0.3473,0.2602,0.2133,0.2458,0.2642923076923077
6,0.2505,0.2039,0.2358,0.2546,0.1953,0.2954,0.2434,0.2048,0.1955,0.2677,0.2228,0.1843,0.1934,0.22672307692307692
7,0.2252,0.1929,0.2358,0.2314,0.1819,0.2163,0.1881,0.1904,0.1833,0.251,0.2086,0.1728,0.1682,0.20353076923076924
8,0.2017,0.1676,0.2244,0.2079,0.1315,0.2021,0.1881,0.1695,0.1715,0.189,0.1837,0.1497,0.1613,0.1806153846153846
9,0.188,0.1601,0.1884,0.1811,0.1308,0.177,0.178,0.16,0.1507,0.1724,0.1597,0.1345,0.1249,0.16196923076923075
10,0.1682,0.1544,0.1584,0.1629,0.1191,0.1704,0.1695,0.1514,0.1428,0.1591,0.1348,0.12,0.1177,0.1483615384615385
11,0.1635,0.148,0.1353,0.1474,0.1139,0.1562,0.1589,0.1464,0.1281,0.1545,0.1239,0.1175,0.105,0.13835384615384613
12,0.1486,0.1452,0.1295,0.1391,0.1082,0.1373,0.1424,0.1325,0.1169,0.1454,0.1174,0.1112,0.0888,0.12788461538461537
13,0.1354,0.1362,0.1254,0.1311,0.102,0.1269,0.1403,0.127,0.1117,0.1365,0.1037,0.1076,0.0808,0.12035384615384613
14,0.1235,0.1289,0.1194,0.1229,0.0949,0.1174,0.1255,0.1193,0.1039,0.1291,0.1037,0.1039,0.0758,0.11293846153846156
15,0.1161,0.1245,0.1155,0.1194,0.0892,0.1123,0.1175,0.1167,0.1,0.1231,0.1032,0.099,0.0737,0.10847692307692308
16,0.1116,0.1205,0.1129,0.1173,0.0876,0.1091,0.1113,0.1132,0.097,0.1161,0.1,0.0955,0.0696,0.10474615384615384
17,0.1069,0.1144,0.1078,0.1145,0.0852,0.1053,0.1062,0.1102,0.0942,0.1104,0.0966,0.0954,0.0673,0.10110769230769232
18,0.1037,0.1113,0.1057,0.1103,0.0827,0.1036,0.103,0.1086,0.0923,0.1052,0.0943,0.0935,0.0655,0.09843846153846154
19,0.101,0.1087,0.1033,0.1054,0.0795,0.1019,0.1005,0.1071,0.0911,0.1027,0.0907,0.0922,0.0628,0.09591538461538461
20,0.0991,0.1053,0.1011,0.1037,0.0782,0.1008,0.0986,0.101,0.0904,0.0999,0.0863,0.0911,0.062,0.09365384615384616
21,0.0975,0.1042,0.0977,0.1001,0.0776,0.0999,0.0973,0.0967,0.0895,0.0972,0.0836,0.09,0.0612,0.09173076923076923
22,0.0966,0.1029,0.0964,0.0978,0.0767,0.0992,0.0956,0.0951,0.0888,0.0955,0.0814,0.0893,0.0603,0.09043076923076923
23,0.0953,0.102,0.0951,0.0954,0.0761,0.0983,0.0934,0.0929,0.0884,0.0945,0.0792,0.0886,0.0596,0.08913846153846154
24,0.0944,0.1013,0.0943,0.0945,0.0756,0.0979,0.0926,0.0922,0.0879,0.0932,0.0762,0.0877,0.0592,0.08823076923076924
25,0.0926,0.1008,0.0937,0.0935,0.0752,0.0974,0.0903,0.0908,0.0875,0.092,0.0753,0.0875,0.0587,0.08733076923076923
26,0.0914,0.1003,0.0931,0.0925,0.0748,0.0971,0.0889,0.0895,0.0872,0.0906,0.0742,0.0871,0.0586,0.08656153846153845
27,0.0906,0.1,0.0928,0.0916,0.0745,0.0967,0.0878,0.0887,0.087,0.09,0.0734,0.0867,0.0583,0.08600769230769231
28,0.0894,0.0997,0.0925,0.091,0.074,0.0964,0.087,0.0881,0.0868,0.0894,0.0729,0.0865,0.0581,0.08552307692307691
29,0.0888,0.0995,0.0922,0.0905,0.0738,0.0962,0.0864,0.0874,0.0867,0.089,0.0725,0.0863,0.058,0.08517692307692307
30,0.0884,0.0993,0.0921,0.0902,0.0735,0.0961,0.0856,0.0871,0.0864,0.0886,0.0721,0.0861,0.0579,0.08487692307692309
31,0.0877,0.0992,0.092,0.0899,0.0734,0.096,0.0852,0.0866,0.0863,0.0883,0.0719,0.086,0.0578,0.08463846153846154
32,0.0872,0.0991,0.0919,0.0898,0.0732,0.0959,0.0848,0.0862,0.0862,0.0881,0.0715,0.0858,0.0577,0.08441538461538463
33,0.0868,0.099,0.0918,0.0897,0.0731,0.0958,0.0845,0.086,0.0861,0.0879,0.0713,0.0857,0.0576,0.08425384615384617
34,0.0865,0.0989,0.0918,0.0896,0.0728,0.0957,0.084,0.0858,0.086,0.0877,0.0711,0.0857,0.0575,0.0840846153846154
35,0.0862,0.0988,0.0917,0.0895,0.0727,0.0957,0.0837,0.0855,0.0859,0.0876,0.071,0.0856,0.0575,0.08395384615384614
36,0.0861,0.0987,0.0917,0.0894,0.0726,0.0957,0.0834,0.0854,0.0858,0.0875,0.0709,0.0856,0.0575,0.08386923076923078
37,0.086,0.0986,0.0916,0.0894,0.0724,0.0956,0.0831,0.0853,0.0858,0.0874,0.0709,0.0856,0.0574,0.08377692307692305
38,0.0858,0.0986,0.0916,0.0893,0.0723,0.0956,0.0828,0.0852,0.0857,0.0874,0.0708,0.0855,0.0574,0.08369230769230768
39,0.0857,0.0985,0.0915,0.0893,0.0723,0.0956,0.0826,0.0851,0.0857,0.0873,0.0708,0.0855,0.0574,0.08363846153846154
40,0.0857,0.0984,0.0915,0.0893,0.0722,0.0955,0.0823,0.085,0.0856,0.0873,0.0707,0.0855,0.0573,0.08356153846153845
41,0.0856,0.0983,0.0914,0.0892,0.0722,0.0955,0.0821,0.085,0.0856,0.0872,0.0707,0.0855,0.0573,0.0835076923076923
42,0.0855,0.0983,0.0914,0.0892,0.0721,0.0955,0.082,0.0849,0.0856,0.0872,0.0707,0.0855,0.0573,0.08347692307692307
43,0.0855,0.0982,0.0914,0.0892,0.0721,0.0955,0.0818,0.0849,0.0855,0.0872,0.0707,0.0854,0.0573,0.08343846153846152
44,0.0854,0.0982,0.0913,0.0891,0.0721,0.0955,0.0817,0.0848,0.0855,0.0871,0.0707,0.0854,0.0573,0.08339230769230768
45,0.0854,0.0981,0.0913,0.0891,0.0721,0.0954,0.0816,0.0848,0.0855,0.0871,0.0706,0.0854,0.0573,0.08336153846153846
46,0.0853,0.0981,0.0913,0.0891,0.0721,0.0954,0.0815,0.0848,0.0855,0.0871,0.0706,0.0854,0.0573,0.08334615384615383
47,0.0852,0.0981,0.0912,0.0891,0.0721,0.0954,0.0813,0.0848,0.0855,0.0871,0.0706,0.0854,0.0573,0.08331538461538461
48,0.0852,0.098,0.0912,0.0891,0.0721,0.0954,0.0812,0.0848,0.0855,0.0871,0.0706,0.0854,0.0573,0.0833
49,0.0852,0.098,0.0912,0.089,0.072,0.0954,0.0811,0.0847,0.0855,0.0871,0.0706,0.0854,0.0573,0.08326923076923075
50,0.0851,0.098,0.0912,0.089,0.072,0.0954,0.081,0.0847,0.0855,0.087,0.0706,0.0854,0.0573,0.08324615384615383
