BP-NN
Epoch,Run 2,Run 4,Run 8,Run 18,Run 21,Run 22,Run 39,Run 43,Run 44,Run 50,Mean
44,0.1872,0.1491,0.1488,0.1723,0.1388,0.168,0.184,0.1662,0.1623,0.1617,0.16384
45,0.1755,0.1491,0.1441,0.1723,0.1388,0.168,0.184,0.1628,0.1623,0.1553,0.16122
46,0.1755,0.1491,0.1441,0.1723,0.1388,0.1672,0.184,0.1628,0.1623,0.1553,0.16114
47,0.1755,0.1491,0.1441,0.1723,0.1388,0.1672,0.184,0.1628,0.1623,0.1553,0.16114
48,0.1725,0.1491,0.1441,0.1713,0.1388,0.1672,0.184,0.1628,0.1623,0.1553,0.16074000000000002
49,0.1697,0.1491,0.1441,0.1713,0.1388,0.1672,0.1774,0.1628,0.1623,0.1553,0.1598
50,0.1666,0.1491,0.1441,0.1671,0.1388,0.1672,0.1743,0.1574,0.1623,0.1553,0.15821999999999997

PSO-NN
Epoch,Run 5,Run 13,Run 14,Run 19,Run 20,Run 23,Run 25,Run 38,Run 44,Run 50,Mean
1,0.4921,0.5512,0.6209,0.597,0.5797,0.5206,0.4214,0.5597,0.474,0.442,0.52586
2,0.3047,0.3904,0.4053,0.4421,0.4082,0.3578,0.294,0.3458,0.2981,0.3985,0.3644899999999999
3,0.2626,0.2911,0.3872,0.3247,0.321,0.3035,0.2887,0.3321,0.253,0.3586,0.31225
4,0.236,0.2188,0.3662,0.3247,0.2505,0.267,0.2496,0.3023,0.253,0.3035,0.2771600000000001
5,0.2353,0.2103,0.3095,0.2827,0.236,0.2141,0.2251,0.2565,0.253,0.2224,0.24449
6,0.2135,0.1801,0.2603,0.2571,0.1939,0.2048,0.2015,0.2239,0.253,0.1884,0.21765000000000004
7,0.1789,0.1656,0.2356,0.2482,0.1798,0.1761,0.1742,0.1817,0.2174,0.1863,0.19438
8,0.1636,0.1587,0.2134,0.2336,0.1657,0.1572,0.1593,0.1688,0.2126,0.1637,0.17966000000000001
9,0.1577,0.1413,0.1977,0.1805,0.1547,0.1504,0.1553,0.1519,0.1978,0.1614,0.16487000000000002
10,0.1529,0.1384,0.1872,0.1785,0.1432,0.1394,0.1417,0.1451,0.1785,0.1472,0.15521000000000001
11,0.1444,0.1294,0.1667,0.1547,0.1359,0.1315,0.1336,0.1365,0.1645,0.132,0.14292
12,0.1402,0.1245,0.1539,0.1425,0.1281,0.1284,0.1289,0.1299,0.1492,0.1281,0.13537
13,0.1353,0.1201,0.1443,0.1368,0.1244,0.1251,0.1242,0.1249,0.1438,0.1193,0.12982
14,0.1308,0.1176,0.1382,0.1339,0.12,0.1226,0.12,0.1199,0.1341,0.1142,0.12513
15,0.1262,0.1163,0.1321,0.1293,0.1145,0.119,0.1162,0.1156,0.1264,0.1103,0.12059000000000002
16,0.1225,0.1145,0.1273,0.1256,0.1119,0.1172,0.1132,0.1131,0.1208,0.1072,0.11733
17,0.1198,0.1127,0.1249,0.1223,0.1102,0.1149,0.11,0.1112,0.1161,0.1054,0.11474999999999999
