BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
8,0.1415,0.2188,0.2218,0.2319,0.2808,0.246,0.2941,0.2091,0.2881,0.1654,0.2618,0.2884,0.2451,0.23790769230769226
9,0.1332,0.1787,0.2218,0.2009,0.2515,0.2258,0.2682,0.1852,0.2616,0.1651,0.2503,0.2724,0.2378,0.21942307692307692
10,0.1323,0.1571,0.1771,0.1836,0.2273,0.2016,0.2618,0.1852,0.2202,0.1599,0.2311,0.2563,0.222,0.20119230769230764
11,0.1289,0.1523,0.1635,0.1798,0.2151,0.1951,0.2561,0.1842,0.2008,0.1542,0.2024,0.2301,0.2058,0.1898692307692308
12,0.127,0.1461,0.1576,0.1764,0.2001,0.1858,0.2504,0.1819,0.191,0.1507,0.1708,0.2269,0.2031,0.18213846153846155
13,0.124,0.1461,0.1491,0.1747,0.1948,0.171,0.2438,0.1819,0.1864,0.1426,0.1594,0.2235,0.2001,0.17672307692307693
14,0.1237,0.1306,0.1392,0.1747,0.194,0.1594,0.2223,0.1653,0.1731,0.142,0.1498,0.2177,0.1823,0.1672384615384615
15,0.1231,0.1306,0.1295,0.1605,0.1836,0.1367,0.2089,0.1596,0.1626,0.1358,0.1432,0.2131,0.1729,0.15846923076923078
16,0.1192,0.1219,0.121,0.1601,0.178,0.1367,0.2034,0.155,0.1619,0.1322,0.1338,0.212,0.1724,0.15443076923076923
17,0.1192,0.1211,0.1165,0.1517,0.1662,0.1359,0.1955,0.1544,0.1614,0.1273,0.1338,0.2026,0.1706,0.15047692307692306
18,0.1156,0.1182,0.1165,0.1517,0.1662,0.1331,0.1832,0.1397,0.1459,0.1191,0.1307,0.2026,0.1654,0.14522307692307693
19,0.114,0.1135,0.1137,0.1492,0.1623,0.1315,0.1802,0.1385,0.1334,0.1141,0.1307,0.1974,0.1616,0.14154615384615385
20,0.1122,0.1098,0.1137,0.1471,0.1593,0.1286,0.1699,0.1373,0.1276,0.1082,0.127,0.1974,0.1588,0.13822307692307695
